source,relationship,target
Logitech M331,SIMILAR_TO,Logitech MX Master 3S
Keychron K2,SIMILAR_TO,Logitech K380
Logitech K380,SIMILAR_TO,Keychron K2
Dell USB-C Hub,SIMILAR_TO,Anker USB-C Hub
Anker USB-C Hub,SIMILAR_TO,Dell USB-C Hub
Dell Laptop Stand,SIMILAR_TO,Portronics Laptop Stand
Portronics Laptop Stand,SIMILAR_TO,Dell Laptop Stand
LG 24 inch Monitor,SIMILAR_TO,Dell 24 inch Monitor
Dell 24 inch Monitor,SIMILAR_TO,LG 24 inch Monitor
Sony WH-1000XM5,SIMILAR_TO,JBL Tune 770NC
JBL Tune 770NC,SIMILAR_TO,Sony WH-1000XM5
Samsung T7 SSD 1TB,SIMILAR_TO,WD My Passport 1TB
WD My Passport 1TB,SIMILAR_TO,Samsung T7 SSD 1TB
